title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH 千年血戦篇-訣別譚-,,2023,Action|Adventure|Supernatural,8.7,44,227886,78.5,9.0,8.0,73293.0,95.33,,,,
Kimetsu no Yaiba: Yuukaku-hen,鬼滅の刃 遊郭編,鬼灭之刃 游郭篇,2022,Action|Supernatural|Adventure,8.7,45,1100720,78.0,8.6,42.0,219069.0,72.67,7.3,113.0,11686.0,8.2
Kingdom 6th Season,キングダム 第6シリーズ,,2025,Action|Drama|Sci-Fi,8.69,46,15296,77.5,8.7,29.0,24491.0,81.33,,,,
Ikoku Nikki,違国日記,,2026,Drama,8.69,47,10523,77.0,8.8,22.0,302.0,86.0,,,,
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,昭和元禄落語心中～助六再び篇～,,2017,Drama,8.69,48,69572,76.5,8.4,83.0,1197.0,45.33,,,,
Violet Evergarden,ヴァイオレット・エヴァーガーデン,紫罗兰永恒花园,2018,Drama|Fantasy,8.69,49,1080527,76.0,8.4,90.0,39704.0,40.67,7.6,92.0,21202.0,25.41
Mushishi Zoku Shou,蟲師 続章,,2014,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.68,50,127685,75.5,8.8,14.0,3604.0,91.33,,,,
Uma Musume: Cinderella Gray Part 2,ウマ娘 シンデレラグレイ 第2クール,赛马娘 芦毛灰姑娘,2025,Drama|Sports|Horror,8.67,53,27767,74.0,7.9,141.0,6373.0,6.67,7.5,106.0,8379.0,13.93
Bleach: Sennen Kessen-hen - Soukoku-tan,BLEACH 千年血戦篇-相剋譚-,,2024,Action|Adventure|Supernatural,8.67,52,149949,74.5,9.0,6.0,73293.0,96.67,,,,
Hajime no Ippo: New Challenger,はじめの一歩 新シリーズ,,2009,Sports|Action|Comedy,8.67,51,187543,75.0,8.8,13.0,4498.0,92.0,,,,
Mushishi,蟲師,虫师,2005,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.65,54,296460,73.5,8.5,69.0,16037.0,54.67,8.7,7.0,11438.0,95.08
Tengen Toppa Gurren Lagann,天元突破グレンラガン,天元突破 红莲螺岩,2007,Adventure|Award Winning|Sci-Fi|Action,8.64,55,969265,73.0,8.3,115.0,25839.0,24.0,8.5,19.0,15864.0,85.25
Shigatsu wa Kimi no Uso,四月は君の嘘,四月是你的谎言,2014,Drama|Romance|Comedy,8.64,56,1456764,72.5,8.5,67.0,48589.0,56.0,8.0,59.0,22215.0,52.46
Shingeki no Kyojin Season 3,進撃の巨人 Season3,进击的巨人 第三季,2018,Action|Drama|Suspense|Thriller,8.64,57,1790733,72.0,7.7,147.0,22020.0,2.67,8.3,29.0,19635.0,77.05
Made in Abyss,メイドインアビス,来自深渊,2017,Adventure|Drama|Fantasy|Mystery|Sci-Fi|Action,8.63,58,830147,71.5,8.3,119.0,20608.0,21.33,8.2,46.0,18220.0,63.11
